antigen,value
0,0.5
1,1.0
2,0.1
3,0.9
4,0.2
5,0.8
6,0.3
7,0.7
8,0.4
9,0.6
10,0.0
11,1.0
12,0.5
13,0.1
14,0.9
15,0.2
16,0.8
17,0.3
18,0.7
19,0.4
20,0.6
